study_hours,past_performance,exam_score
4.4,74.1,62.7
9.6,92.5,87.2
7.6,81.4,78.4
6.4,63.1,65.7
2.4,59.2,48.0
2.4,75.9,56.5
1.5,54.2,43.2
8.8,92.0,91.8
6.4,84.2,79.8
7.4,64.4,67.7
1.2,49.4,33.0
9.7,86.2,86.5
8.5,68.6,76.9
2.9,84.9,57.0
2.6,50.9,41.6
2.7,62.8,45.0
3.7,70.1,55.3
5.7,70.6,68.8
4.9,64.6,56.8
3.6,77.5,59.4
6.5,57.2,50.3
2.3,68.3,52.6
3.6,71.4,58.8
4.3,76.2,71.6
5.1,78.5,63.5
8.1,56.5,63.2
2.8,51.6,42.0
5.6,85.3,78.8
6.3,74.0,66.1
1.4,61.0,43.0
6.5,88.6,78.8
2.5,71.4,52.6
1.6,84.2,53.8
9.5,70.8,76.8
9.7,94.7,96.1
8.3,91.1,78.5
3.7,67.0,54.0
1.9,81.7,52.1
7.2,77.7,77.7
5.0,86.4,61.6
2.1,58.4,39.6
5.5,78.2,67.9
1.3,82.7,62.0
9.2,48.9,61.2
3.3,55.8,42.4
7.0,45.5,61.1
3.8,66.8,46.1
5.7,78.6,56.1
5.9,88.0,75.7
2.7,70.9,49.3
9.7,89.5,82.7
8.0,53.4,63.5
9.5,49.6,64.0
9.1,69.3,70.5
6.4,74.6,60.7
9.3,69.6,78.7
1.8,45.2,36.7
2.8,68.9,50.5
1.4,54.3,46.8
3.9,78.0,55.2
4.5,74.4,52.8
3.4,58.7,43.8
8.5,63.8,67.7
4.2,57.3,50.3
3.5,69.2,52.7
5.9,81.5,71.2
2.3,58.2,36.6
8.2,76.0,81.6
1.7,63.6,43.6
9.9,60.5,76.5
8.0,68.7,70.8
2.8,57.6,46.6
1.0,63.4,44.5
8.3,55.6,64.8
7.4,93.6,85.1
7.6,70.4,75.4
7.9,61.6,65.7
1.7,72.6,52.9
4.2,68.7,55.5
2.0,67.3,54.8
8.8,77.4,73.7
6.6,79.1,79.6
4.0,63.6,51.9
1.6,63.1,36.2
3.8,66.7,54.0
3.9,42.4,35.8
7.6,51.8,61.8
6.7,86.4,72.2
9.0,89.7,83.1
5.2,67.0,49.1
2.1,76.9,51.2
7.4,73.7,58.1
7.8,100.0,79.5
6.1,83.4,75.0
7.9,68.5,72.8
5.4,58.5,56.3
5.7,50.7,45.6
4.8,72.4,60.2
1.2,60.9,40.8
2.0,52.9,32.9
1.3,62.2,49.4
6.7,57.0,62.1
3.8,90.2,66.4
5.6,80.6,68.0
9.2,69.9,75.1
3.2,87.8,53.8
4.7,70.9,57.7
7.8,59.7,59.7
3.1,88.3,58.7
1.7,76.5,50.4
3.6,57.6,56.1
2.5,67.7,52.4
9.4,59.5,65.6
8.3,53.4,63.9
6.7,81.1,79.1
8.8,92.9,91.3
8.2,53.2,61.0
2.7,76.8,52.2
9.0,62.2,72.4
5.9,64.2,60.9
8.3,62.9,71.1
9.1,59.6,70.7
3.9,70.6,61.1
2.0,60.0,40.3
3.1,73.2,61.2
4.8,69.4,59.6
8.4,67.1,79.9
8.7,59.1,62.6
1.1,63.1,50.2
5.6,79.1,68.0
4.8,76.0,59.0
3.0,58.3,43.0
2.1,71.2,48.4
4.0,79.0,63.7
9.5,50.0,65.8
3.9,76.5,56.7
5.7,62.0,56.9
7.3,76.8,82.5
4.3,60.8,60.1
9.7,48.3,65.3
9.7,50.5,64.3
3.3,70.6,54.4
5.5,73.1,66.1
3.7,59.1,43.4
3.6,77.7,57.8
1.3,50.1,26.4
6.5,69.2,66.2
5.5,55.5,55.9
1.5,62.2,40.0
3.5,70.6,62.5
9.2,59.7,61.8
3.2,65.4,43.0
2.3,82.1,58.4
5.4,63.1,62.0
9.9,80.0,91.0
3.2,56.4,42.7
7.0,76.4,75.9
7.9,87.3,79.7
3.1,40.3,34.3
7.6,60.4,67.1
4.3,76.9,64.5
6.7,67.6,56.1
6.7,74.5,75.5
5.8,62.8,64.9
1.8,71.0,45.8
8.5,68.1,72.7
3.9,84.0,66.5
2.7,73.1,54.5
1.4,74.1,46.5
6.3,65.1,57.8
7.1,64.1,63.2
1.1,64.8,48.8
5.6,74.7,67.2
3.0,64.9,47.8
6.8,73.5,71.8
2.6,94.9,51.7
7.2,80.5,79.3
4.5,66.1,46.6
9.4,84.4,81.8
2.2,65.1,41.3
4.1,45.5,35.1
2.0,57.9,47.6
9.3,47.6,58.8
8.9,65.8,72.3
3.3,70.2,53.5
6.9,90.1,80.7
8.4,73.9,74.0
6.0,67.4,55.0
5.8,80.0,73.1
3.2,43.5,34.7
1.8,72.8,42.3
9.1,79.3,77.2
9.1,52.3,70.7
6.7,83.7,77.9
4.1,74.1,56.9
4.1,65.0,51.8
7.5,77.6,71.3
9.1,97.2,100.0
9.0,72.2,76.7
8.0,73.0,74.0
6.8,64.5,67.6
1.8,59.8,43.2
2.5,80.0,55.3
9.1,59.7,66.7
6.5,70.9,64.8
1.1,64.3,42.2
1.9,75.7,55.8
7.0,74.0,69.1
1.0,82.5,56.8
2.4,63.9,46.5
5.9,66.8,61.2
7.2,58.3,50.3
6.9,64.7,67.4
3.0,74.5,57.0
7.4,79.1,78.4
3.1,58.9,31.9
3.9,80.4,72.5
7.7,86.3,78.1
6.8,75.0,74.5
8.6,92.5,80.6
6.9,60.7,63.7
6.1,55.1,49.2
1.8,48.7,32.5
4.3,88.0,77.4
3.4,77.9,57.6
3.2,69.3,53.9
9.8,73.4,82.5
4.5,56.5,52.3
9.0,99.3,92.0
6.7,71.6,68.1
8.2,71.3,83.3
5.5,78.7,66.3
6.2,75.8,68.1
5.4,72.7,67.9
2.8,60.5,51.5
7.5,75.7,77.6
3.5,92.6,71.1
1.2,86.1,50.2
6.8,89.1,85.5
2.6,63.9,41.7
9.5,58.1,69.5
9.6,68.5,70.9
9.2,70.7,74.4
4.3,83.1,66.7
1.1,49.7,35.4
9.4,88.4,87.9
4.9,68.1,65.9
9.7,64.9,75.1
9.7,57.9,67.3
8.7,50.1,65.3
3.7,79.9,66.6
4.5,70.9,52.0
8.7,54.5,66.0
3.9,54.5,49.7
2.5,66.0,46.9
6.0,90.0,81.9
9.4,66.9,72.4
7.3,52.0,57.2
6.1,67.1,60.8
1.9,66.7,46.7
